DATE,Actual,Prediction,,Pct_change,Predicted_%_Change
2023-01-03,3824.14,3824.14,,-0.004000549,0.00845353
2023-01-04,3852.97,3856.47,,0.007538971,0.00845353
2023-01-05,3808.1,3861.89,,-0.011645529,0.001406095
2023-01-06,3895.08,3868.09,,0.022840781,0.001604804
2023-01-09,3892.09,3865.92,,-0.000767633,-0.000559968
2023-01-10,3919.25,3874.71,,0.006978233,0.002273262
2023-01-11,3969.61,3907.47,,0.012849425,0.00845353
2023-01-12,3983.17,3912.96,,0.003415906,0.001406095
2023-01-13,3999.09,3918.46,,0.003996858,0.001406095
2023-01-17,3990.97,3914.90,,-0.002030491,-0.00090858
2023-01-18,3928.86,3922.10,,-0.015562599,0.001839026
2023-01-19,3898.85,3918.54,,-0.00763835,-0.00090858
2023-01-20,3972.61,3978.06,,0.018918401,0.015191194
2023-01-23,4019.81,4016.39,,0.011881345,0.009634258
2023-01-24,4016.95,4025.52,,-0.000711503,0.002273262
2023-01-25,4016.22,4057.81,,-0.000181725,0.008022174
2023-01-26,4060.43,4092.12,,0.011007853,0.00845353
2023-01-27,4070.56,4126.71,,0.002494841,0.00845353
2023-01-30,4017.77,4118.33,,-0.012968741,-0.002031061
2023-01-31,4076.6,4142.14,,0.01464247,0.005781746
2023-02-01,4119.21,4151.54,,0.010452304,0.002270383
2023-02-02,4179.76,4157.41,,0.014699373,0.001413887
2023-02-03,4136.48,4171.24,,-0.010354611,0.003326825
2023-02-06,4111.08,4185.12,,-0.006140463,0.003326825
2023-02-07,4164,4206.85,,0.012872511,0.005191777
2023-02-08,4117.86,4204.49,,-0.011080724,-0.000559968
2023-02-09,4081.5,4202.49,,-0.008829796,-0.000477224
2023-02-10,4090.46,4210.22,,0.002195262,0.001839026
2023-02-13,4137.29,4225.46,,0.011448609,0.003619666
2023-02-14,4136.13,4235.06,,-0.000280415,0.002273262
2023-02-15,4147.6,4250.39,,0.002773176,0.003619666
2023-02-16,4090.41,4256.37,,-0.013788741,0.001406095
2023-02-17,4079.09,4266.03,,-0.002767406,0.002270383
2023-02-21,3997.34,4258.19,,-0.020041234,-0.001837195
2023-02-22,3991.05,4264.18,,-0.001573556,0.001406095
2023-02-23,4012.32,4282.29,,0.005329429,0.004246564
2023-02-24,3970.04,4292.02,,-0.010537551,0.002273262
2023-02-27,3982.24,4326.45,,0.003073005,0.008022174
2023-02-28,3970.15,4329.99,,-0.003036002,0.000816126
2023-03-01,3951.39,4339.82,,-0.004725265,0.002270383
2023-03-02,3981.35,4337.39,,0.007582194,-0.000559968
2023-03-03,4045.64,4374.05,,0.016147737,0.00845353
2023-03-06,4048.42,4382.10,,0.000687167,0.001839026
2023-03-07,3986.37,4385.67,,-0.015326919,0.000816126
2023-03-08,3992.01,4422.75,,0.001414794,0.00845353
2023-03-09,3918.32,4413.76,,-0.018459358,-0.002031061
2023-03-10,3861.59,4417.37,,-0.014478138,0.000816126
2023-03-13,3855.76,4424.46,,-0.001509761,0.001604804
2023-03-14,3919.29,4461.86,,0.016476655,0.00845353
2023-03-15,3891.93,4468.13,,-0.006980884,0.001406095
2023-03-16,3960.28,4505.90,,0.017562006,0.00845353
2023-03-17,3916.64,4501.81,,-0.011019457,-0.00090858
2023-03-20,3951.57,4508.14,,0.008918404,0.001406095
2023-03-21,4002.87,4557.17,,0.012982194,0.010875034
2023-03-22,3936.97,4553.02,,-0.016463224,-0.00090858
2023-03-23,3948.72,4559.43,,0.002984529,0.001406095
2023-03-24,3970.99,4565.87,,0.005639807,0.001413887
2023-03-27,3977.53,4573.20,,0.001646954,0.001604804
2023-03-28,3971.27,4571.02,,-0.001573843,-0.000477224
2023-03-29,4027.81,4601.41,,0.014237269,0.006648914
2023-03-30,4050.83,4616.72,,0.005715269,0.003326825
2023-03-31,4109.31,4692.48,,0.014436542,0.016410543
2023-04-03,4124.51,4694.72,,0.003698846,0.000477224
2023-04-04,4100.6,4638.92,,-0.005796972,-0.011884987
2023-04-05,4090.38,4643.14,,-0.002492371,0.00090858
2023-04-06,4105.02,4645.35,,0.003579163,0.000477224
2023-04-10,4109.11,4634.81,,0.000996303,-0.002270383
2023-04-11,4108.94,4639.02,,-4.14E-05,0.00090858
2023-04-12,4091.95,4630.49,,-0.004134884,-0.001839026
2023-04-13,4146.22,4615.08,,0.01326269,-0.003326825
2023-04-14,4137.64,4617.67,,-0.002069373,0.000559968
2023-04-17,4151.32,4607.17,,0.003306157,-0.002273262
2023-04-18,4154.87,4609.75,,0.00085522,0.000559968
2023-04-19,4154.52,4603.23,,-8.43E-05,-0.001413887
2023-04-20,4129.79,4605.81,,-0.005952548,0.000559968
2023-04-21,4133.52,4559.45,,0.000903189,-0.010065614
2023-04-24,4137.04,4555.73,,0.000851579,-0.000816126
2023-04-25,4071.63,4549.29,,-0.015810859,-0.001413887
2023-04-26,4055.99,4502.55,,-0.003841187,-0.010272903
2023-04-27,4135.35,4504.70,,0.01956615,0.000477224
