DATE,SVD_0,SVD_1,Pct_change,Total,SP500
2023-01-03,2.617702595,3.232880198,-0.004000549,5.850582793,3824.14
2023-01-04,2.648277517,3.690789042,0.007538971,6.339066558,3852.97
2023-01-05,2.148040018,2.398781474,-0.011645529,4.546821492,3808.1
2023-01-06,2.251799663,2.304285263,0.022840781,4.556084926,3895.08
2023-01-09,2.37331497,2.469339805,-0.000767633,4.842654775,3892.09
2023-01-10,2.08182179,2.403147056,0.006978233,4.484968846,3919.25
2023-01-11,2.543349348,3.473534272,0.012849425,6.016883619,3969.61
2023-01-12,2.189768441,2.408739759,0.003415906,4.5985082,3983.17
2023-01-13,2.14164886,2.19155678,0.003996858,4.33320564,3999.09
2023-01-17,2.406585833,2.662919347,-0.002030491,5.069505179,3990.97
2023-01-18,2.235464471,3.025900864,-0.015562599,5.261365335,3928.86
2023-01-19,2.455416167,2.812397386,-0.00763835,5.267813553,3898.85
2023-01-20,2.333332989,3.056183585,0.018918401,5.389516574,3972.61
2023-01-23,2.401859808,3.072077755,0.011881345,5.473937563,4019.81
2023-01-24,2.047672724,2.495621687,-0.000711503,4.543294411,4016.95
2023-01-25,2.337100387,3.132825556,-0.000181725,5.469925943,4016.22
2023-01-26,2.641688803,3.158838156,0.011007853,5.800526958,4060.43
2023-01-27,2.741013965,3.217470127,0.002494841,5.958484091,4070.56
2023-01-30,2.618237226,2.726729311,-0.012968741,5.344966537,4017.77
2023-01-31,2.170313593,2.738961258,0.01464247,4.909274851,4076.6
2023-02-01,2.498219815,3.022141424,0.010452304,5.520361239,4119.21
2023-02-02,2.485395445,2.631764236,0.014699373,5.117159681,4179.76
2023-02-03,3.017058594,3.824294501,-0.010354611,6.841353095,4136.48
2023-02-06,2.887484273,3.274185114,-0.006140463,6.161669387,4111.08
2023-02-07,2.226446975,2.587228659,0.012872511,4.813675633,4164
2023-02-08,2.356132285,2.483600674,-0.011080724,4.839732959,4117.86
2023-02-09,2.520041886,2.868135245,-0.008829796,5.388177132,4081.5
2023-02-10,2.406956693,2.930704216,0.002195262,5.337660909,4090.46
2023-02-13,2.670945492,2.925241934,0.011448609,5.596187427,4137.29
2023-02-14,1.996520429,2.177194517,-0.000280415,4.173714946,4136.13
2023-02-15,2.520060244,2.904117261,0.002773176,5.424177505,4147.6
2023-02-16,2.086282032,2.27857043,-0.013788741,4.364852462,4090.41
2023-02-17,2.530929663,2.957606129,-0.002767406,5.488535792,4079.09
2023-02-21,2.255936883,2.547282071,-0.020041234,4.803218954,3997.34
2023-02-22,2.09298275,2.355385983,-0.001573556,4.448368732,3991.05
2023-02-23,1.962306174,2.142689818,0.005329429,4.104995992,4012.32
2023-02-24,1.949666653,2.153244467,-0.010537551,4.102911121,3970.04
2023-02-27,2.438837054,3.207941555,0.003073005,5.646778609,3982.24
2023-02-28,2.232457502,2.342156692,-0.003036002,4.574614194,3970.15
2023-03-01,2.780943219,2.952588234,-0.004725265,5.733531453,3951.39
2023-03-02,2.280814908,2.532618172,0.007582194,4.81343308,3981.35
2023-03-03,2.806944541,3.232130701,0.016147737,6.039075242,4045.64
2023-03-06,2.320737319,2.980358482,0.000687167,5.301095801,4048.42
2023-03-07,2.219614663,2.382585644,-0.015326919,4.602200307,3986.37
2023-03-08,2.601654671,3.455910557,0.001414794,6.057565229,3992.01
2023-03-09,2.679281444,2.887030914,-0.018459358,5.566312358,3918.32
2023-03-10,2.23816925,2.3137894,-0.014478138,4.55195865,3861.59
2023-03-13,2.250693908,2.466646805,-0.001509761,4.717340714,3855.76
2023-03-14,2.744935183,3.19714559,0.016476655,5.942080773,3919.29
2023-03-15,2.132466169,2.165604833,-0.006980884,4.298071002,3891.93
2023-03-16,2.731250949,3.810182464,0.017562006,6.541433413,3960.28
2023-03-17,2.390092004,2.769922325,-0.011019457,5.160014328,3916.64
2023-03-20,2.195607563,2.347139808,0.008918404,4.54274737,3951.57
2023-03-21,2.703687955,4.225205545,0.012982194,6.9288935,4002.87
2023-03-22,2.427478299,2.667523124,-0.016463224,5.095001423,3936.97
2023-03-23,2.142196727,2.249397625,0.002984529,4.391594352,3948.72
2023-03-24,2.579759721,2.665783139,0.005639807,5.245542859,3970.99
2023-03-27,2.249000652,2.463226496,0.001646954,4.712227148,3977.53
2023-03-28,2.488525809,2.699872266,-0.001573843,5.188398074,3971.27
2023-03-29,1.962967088,2.828546534,0.014237269,4.791513622,4027.81
2023-03-30,3.028097805,3.183304214,0.005715269,6.211402019,4050.83
2023-03-31,2.201071679,3.111289192,0.014436542,5.312360871,4109.31
